,Tags,Name,Score,Rank
587,PGPLPJR,Seattle CR,57406,588
588,2GL2QPPL,MidwinterEX,57396,589
589,8RVY99CG,Clashilakillers,57387,590
590,989RGLRY,SPANISH TAKERS,57386,591
591,PY9GPLL8,☆Hitman Army☆,57385,592
592,YUP8RUQL,Quantum South,57384,593
593,29V090R,BIG SPRING,57382,594
594,8Y9LY8CC,Titan Bananen,57382,595
595,22GJG2U,Távola Redonda,57360,596
596,82RCLVP,アニメ大好き集団2nd,57357,597
597,99CL9UQG,GuateMagicSport,57355,598
598,8UJLYVQ2,Notorious PH HF,57353,599
599,9PGQVQP,小鸣同学—壹班,57352,600
600,JPJQ9PR,mexico 2.0,57351,601
601,9RP28PYG,善见城,57350,602
602,9YQLVC09,SoLo TÜRK,57345,603
603,QQJ2R0L,4つ葉のクローバー,57344,604
604,9R8009YR,Elit Colombiana,57343,605
605,2802GPP9,RoyaleConBBQ,57342,606
606,2RVV229,RoyalAttackTeam,57339,607
607,99J8CV9Q,uNreaL™️,57331,608
608,QRRJPV0,小鸣同学-叁年贰班,57330,609
609,28V2QQ9C,Rocket's,57330,610
610,992L9C02,Architects™️,57326,611
611,9QR9JVJG,Final Imperium,57325,612
612,8CPQYY2L,BR Clash,57325,613
613,VJVPCY,The Bacman Pro,57324,614
614,GR80Y9J,FLKloppa,57322,615
615,90GGVGCR,白银帝国〖Kings〗,57318,616
616,8QU9RJR,ネズミーランド,57316,617
617,2VQJY9VV,ロワキチの集会所,57315,618
618,8GYJLUUC,FATALITY,57315,619
619,C8UJ22,42O Royale,57310,620
620,PPVLV8R0,Danish Alliance,57306,621
621,90882UVL,Kusagami,57301,622
622,JYJLVLU,1분 1초,57297,623
623,QG9LUY,UTK,57293,624
624,2L9VUG,Badge OF Honour,57284,625
625,228GUC8L,Light Gaming,57284,626
626,2PR8CCY0,ARGENTINA,57280,627
627,8902RQR,Gold's GYM,57279,628
628,8LJCVPVJ,3C eSports,57277,629
629,8QQUCUQY,BulgarianGang™,57276,630
630,92CU82VQ,ブルームーン,57273,631
631,P8VUQYJP,Twitch Rozay,57271,632
632,92Q920P0,FECR-İ ATİ,57265,633
633,Y8Q9G2LG,<Инквизиция>,57264,634
634,Y0JC9020,pro player,57264,635
635,UV9VU,Çatı Katı,57255,636
636,P9GJ2R8P,CR小分隊,57251,637
637,LVL8GP8,Munich Fighters,57250,638
638,8LRR2UYY,Nova I Panamá,57248,639
639,9G92R2UV,Pak l eSports,57247,640
640,P809L2PY,Black Hawk BR,57244,641
641,2R2VJVR9,"alliance""nova""",57240,642
642,CYVYQ82,信仰,57234,643
643,9L2L2Y9J,Gods Of War /BR,57234,644
644,2CR29UJ9,Les Daltons,57233,645
645,9QJURCQ0,QLASH ITLegends,57226,646
646,89Q8CCV,High Potentials,57224,647
647,8Y9U9U2P,VeteransÉlite 2,57223,648
648,8PY9GJ2C,50 LORD's EC,57222,649
649,220QQRQ,とりあえずビール,57212,650
650,9LLL2URJ,Sandstorm EGY,57212,651
651,L0JL2Q,INDIA 24,57207,652
652,9L82QG8G,Ohio Legends,57205,653
653,8PRPP00J,Neon Bananen,57204,654
654,L8YUV8UY,SmokedOut,57203,655
655,PJGP29QL,HY的天地,57198,656
656,RGJ0C,Hello Winner,57198,657
657,P02U90LC,La Valle dei Re,57193,658
658,GYUR0J2,Solera Märzen,57192,659
659,9LL8LU9R,WHAM! Karaoke,57191,660
660,2G20CLL8,#Teampiga,57182,661
661,2L2UQ9PQ,First Crew,57179,662
662,8UVY20UC,Dark Alliance V,57176,663
663,9Y8J08Q2,The Titans Zonk,57175,664
664,P8C0PV89,Immortal Storm,57173,665
665,2LJV00J9,All Blacks,57172,666
666,9J8PY0GQ,The Punisher,57167,667
667,98UJ9Y2R,Nova I Carlin,57161,668
668,Q9CG0PC,Arabs Royale,57160,669
669,9Q9J98,TARRACO ARENA,57159,670
670,80JQURQ2,樱花の幻想,57158,671
671,2920JCQ0,Empire Suisse,57157,672
672,QUJ8L90,IRAN UNION,57157,673
673,GJGQCGU,Vietnam Glory,57157,674
674,2QPGU2GG,Syndikaatti,57157,675
675,2L8CG8L2,Grinders NL,57156,676
676,CRL20L8,7th senses,57155,677
677,9UUC8289,OreoTop™,57155,678
678,80QUVQRY,Punto CL,57153,679
679,L9VRJ,Calalas España,57153,680
680,9Y2UU00U,NOVA AZERBAIJAN,57152,681
681,9GGGRPJL,Drunk Wildboars,57152,682
682,9LVQLR,Band of Adultes,57143,683
683,P9QQU8C9,Bright Raids,57140,684
684,8L28U9C0,Notorious LA,57136,685
685,PGCJ0GUG,MYBrotherhood®,57135,686
686,9RY82YLC,Furia Nocturna,57134,687
687,92PUPGQ,Iran,57134,688
688,80JRC29V,#Team Wolverine,57133,689
689,9U0JYRJQ,HogChile™,57132,690
690,8YVL9QJV,Québec Élite⭐⭐⭐,57124,691
691,20R2GJ92,Nova l PH,57122,692
692,990JG0JL,salvadoreños,57119,693
693,Y0RYULPV,蜀州郡,57114,694
694,9Y2LCRY0,Team Azgeda☣️,57113,695
695,2JJRGP,ADULTES KILLERS,57111,696
696,9UGJRUL9,AztecS eSports,57110,697
697,QYGLPP,Justice,57109,698
698,20CVGYJ9,Nova大唐 l 玄武军,57107,699
699,JVG8PYQ,ADFECTUS☆,57104,700
700,8JQCPQ2,無言クラン弐番,57100,701
701,2JVJRYP,Nova l UK,57098,702
702,99028Q0,Level: Korea,57098,703
703,2QUPV90,キャンディーズ,57095,704
704,JQQ002Y,光明顶,57091,705
705,2PYV00GQ,C⭐AYYILDIZ C⭐,57091,706
706,PJY9PP98,Always Baked,57090,707
707,9J0QLVR0,royal ghouls,57088,708
708,9UQJUJC9,RoyaleAPI Bravo,57087,709
709,2UJJYC9C,EngineerS,57086,710
710,9VUQ89UU,狂人谷,57080,711
711,208YV2J,#BluePower,57079,712
712,8GUQPYG9,NG I Legends,57077,713
713,C89GGJ8,is from FR,57076,714
714,P8U9RQ,clash brothers,57075,715
715,YU0J2PPU,Ripple eSports,57075,716
716,PLVCJLV2,Suppress™️,57074,717
717,9QPQR28,Psycho Clash,57074,718
718,99R99VCL,Warriors Aztec,57073,719
719,8LPV2GR2,Black Space,57068,720
720,9Q8Q0PUY,Rebels⚡叛军一营,57068,721
721,9LYQY9GY,1生一世,57067,722
722,9UVYLVUC,NM Gaming,57065,723
723,20QQCP2Q,0.3,57061,724
724,YL9PQPC,☆Romania Stars☆,57061,725
725,2JLQY9CL,LORD DEATH,57056,726
726,2GLQQ28L,ESTACIONAMIENTO,57055,727
727,9J9RQJR,DRAGONS,57054,728
728,YC8QRJCR,Real Legends,57052,729
729,R0UGRR,HungarianBlood,57048,730
730,RCL2QC,Blitz Force,57038,731
731,82000QC0,Killer Instinc,57038,732
732,20QRPR98,薛家军,57037,733
733,9UR2V2GQ,1-Man Army,57035,734
734,9QCUPCY0,NordicAlliance™,57035,735
735,UJL9GY,A.BO,57033,736
736,8JP082C,#FightClub,57032,737
737,9U2YVLLU,Phoenix Reborn,57031,738
738,PGR82L0,Lively Colors,57030,739
739,UC9CPP,たすけ愛 JAPAN,57029,740
740,9QR2YJU8,Pak Beasts,57024,741
741,2JJL9J2C,! ShocK-2 !,57023,742
742,JPY0QV,Alpha Warriors,57021,743
743,8Y92P0L9,龍溪 CR,57020,744
744,9U2UYRQU,QLASH Hades,57017,745
745,9GRPVG0G,Electry Fire™,57009,746
746,PLPVC0QG,Cardinals,57006,747
747,9CYUULJU,TOP PRISON 华人部落,57001,748
748,9CU02PCV,Elite Squad,57001,749
749,PQGRL9PV,Evolution Team,56999,750
750,82CJ088G,逍遙門,56992,751
751,PGU9LRQ,DRAGONS 2,56987,752
752,2CCGG8GY,亚洲之鹰战斗吧-吴老上分,56985,753
753,9GPJU9U8,Nova I Aze,56985,754
754,9GRGUGRP,Sumer™,56983,755
755,2QG90PV0,50 Kings IR,56981,756
756,PJ9QUR0J,AFC,56981,757
757,9GCLRJRY,清晨阳光和你 梨花院落,56981,758
758,2PGCQV0L,DESTROY,56977,759
759,PGVGVLLU,China 听雨楼,56977,760
760,Y2JLCU9C,Suntzu Gaming™,56973,761
761,LUU282U,VALENCIA TOTAL,56972,762
762,PL88CPUU,iran royal 8,56971,763
763,9LLJJJQ2,BigFαμιλυ,56970,764
764,UYQYU,BorciBabeMare,56967,765
765,8Y0LRR92,Karmes PDF 2,56966,766
766,2UY8RVC,上海 OP UsoppII,56965,767
767,2LY0YYYU,東京クラロワパーティー,56965,768
768,9PYCQGL0,Gods Of War,56965,769
769,P20Y92VP,WHAM! RO,56962,770
770,9QCVYY2Q,Stealth North,56959,771
771,9C02Q9RJ,DEHA eSports,56957,772
772,9228RCJ0,Synergy México,56956,773
773,JGUV98V,#DTFR ELITE,56956,774
774,8V2C0RL2,RoyaleJalapeño,56952,775
775,90L898CL,In JuStiCe,56949,776
776,J8G92G,Tijuana Rules,56949,777
777,PLUY9C9Y,Iran Diamond,56945,778
778,9L98R20R,GE eSport,56940,779
779,9L8R8G98,QLASH Trident,56940,780
780,998GLU2L,EGY Raptors,56939,781
781,V8LYLJ,-ZEST-,56938,782
782,J2Y98VL,Pagoli,56933,783
783,PQ9RR82G,南京城,56931,784
784,Y00UQLP9,INTZ E-Sports,56930,785
785,U9PGYU,까리용,56925,786
786,P289029R,درع الامارات,56924,787
787,PR2U99V,Red Hot Chile,56915,788
788,8QGQ9GUU,★J.O.K.E.R.S★™,56914,789
789,9J9CP9U8,Cidade de Deus,56914,790
790,2UPGYG8,小南瓜,56912,791
791,82292LJR,쓰리크라운,56911,792
792,VPGVC02,Crna ruka,56911,793
793,U8J8UL,合生帝景国际,56906,794
794,9G2PUJ8V,Chivalrous Sirs,56905,795
795,YLQ89RC,AAMP Elite,56905,796
796,8JPL8V,Adult Savage FR,56902,797
797,9GQ0J0PV,C.R.E.A.M,56900,798
798,JJCGC09,朋友•皇族,56899,799
799,2UQGURQY,X-Team,56899,800
800,8C2Q98PV,GulfNation™️ SY,56893,801
801,P8LCLYJV,LvLUp I eSports,56891,802
802,YCJRQ0C0,Arab Empire,56890,803
803,22G8GPGC,Indo Warriors,56888,804
804,YV9JPLV0,#PelonArmy,56887,805
805,R808,Шайтаны,56885,806
806,YGVCCPUL,3Rules Gaming,56883,807
807,GVUG8U9,MONACO,56882,808
808,GLU02L,Dutch,56880,809
809,29RJL8QC,上海 OP Elite2,56879,810
810,8GQQLC,Tashkent 01,56878,811
811,P8JLCVCJ,Çeyrek Altın,56878,812
812,PVUJQL,LithuaniaHQ,56876,813
813,990QRV2L,Ðimension Y,56874,814
814,2Q0CP09G,電光石火.jp,56872,815
815,2JQUP0LP,Mexican Royals,56871,816
816,YYPQJP9P,WE'RE PHOENIX,56870,817
817,Q02098,PERU ROYALE,56869,818
818,Y29VC8GJ,Grifo eSports,56866,819
819,V8GRLCQ,Team Liquid 2,56864,820
820,9ULGVUL9,The Titans Rage,56858,821
821,8R2R8QC2,BOLIVIA 4.0,56852,822
822,P9CLP0RY,#ぷきぷき,56851,823
823,9QQYYY22,Amaterasu,56850,824
824,9JCUP9JC,MOJO PICÓN,56848,825
825,PQP8JC0,KAZAKHSTAN,56848,826
826,9U9YUYPU,IPERNOVA⚡️™️,56847,827
827,98LQP2L,Gravity,56846,828
828,P22LRJJY,Killer Clowns,56843,829
829,9C800YYQ,Infinity Soul 2,56843,830
830,8VUY29G,無言クラン参番,56841,831
831,YR9GCQ0R,Ulti Esports,56841,832
832,9QQUP00,"""The Gods""",56840,833
833,82J08RR,万里学院,56838,834
834,P999QGG0,Dream Team,56837,835
835,2PP2,Aussie Elites,56836,836
836,QQJ8U08,小鸣同学-學渣班,56835,837
837,CQ9UC0J,Orange Pulp,56830,838
838,9LL9GJ9C,Kings Dragon's,56829,839
839,PQRJV82Q,x6tence Mx,56829,840
840,LGPRQGR,Loyal Saints™,56826,841
841,R0Q92RJ,Die Kreuzritter,56822,842
842,JQPURVQ,Angle后花园S,56820,843
843,2U8PJUPV,ORBIT,56820,844
844,9L2CRYY2,THClash,56820,845
845,2QLULPRG,Tangan Dewa,56819,846
846,YL909C,INSOMNIA,56819,847
847,J8LY0J,!GermanKings!,56818,848
848,82VLQ90,la garde,56812,849
849,8C09UVUL,100% Puro Gofio,56809,850
850,2CPL02PC,Asgardians Mx,56808,851
851,9PQ9YG0,小鸣同学,56805,852
852,9JU8PQYQ,Egy Hackers™,56803,853
853,29QLVR2Y,Spiace,56801,854
854,99JLLPG0,Sandstorm IND,56800,855
855,J80P2C,競馬クラン,56799,856
856,8RQVLCP2,FURIA ROJA,56796,857
857,298QVRGL,!lluminati,56791,858
858,LLVGVVU,暗香战神营,56790,859
859,29LQ0VP,YUNTON,56789,860
860,9GCPLQ20,Orange Stem,56786,861
861,2JGYYV98,Team Smile,56783,862
862,989L2LVY,DOSE DE CATUABA,56780,863
863,U22UJY,Москва,56779,864
864,QPVG9Q,80后,56775,865
865,9R8U0CQJ,REFORCE eSports,56771,866
866,2GGJ0YP2,Col Royale Army,56770,867
867,P0C28V0C,QLASH Itc,56769,868
868,9JGQVU2Y,クロスボウ愛好会,56766,869
869,8PYLVV8J,天下統一 〜眠らない俺達〜,56766,870
870,22CQP92,enraged wars,56761,871
871,YRVVQG9,Anfänger,56759,872
872,JY2QP80,Olimpo,56759,873
873,RVCVG,4てんクラロワ放送部,56758,874
874,RUCGUVC,Born2Royale,56757,875
875,2YPJL0,Angry Royale,56757,876
876,U2LYQ2,広島ホルモン焼き久味屋,56754,877
877,80U8GYY,ابطال الشمال,56753,878
878,2R2QJ92,Tamizh fantasy™,56752,879
879,UYQLCC,Moldova,56750,880
880,2JQ8GR8G,Altes Eisen,56748,881
881,8LL2U9QY,Super campeones,56748,882
882,2GLCPGU8,王者宝殿¥马来西亚¥,56746,883
883,8P08RY,Nimbuzz!,56745,884
884,2YJYJLR2,Nova l Ger 2,56744,885
885,VC98VVU,Apex Brigade,56743,886
886,Q8J9PU0,M.I.T™ Clover,56741,887
887,9QJ82PPJ,hamro clan,56740,888
888,2YQU90U,一球成名,56731,889
889,QCYQY9,부산,56730,890
890,8QYRCGGC,Titan Gods,56729,891
891,989VGGV8,ComeBack,56728,892
892,9LCP2VGV,Guerreros Sv2.0,56726,893
893,RJ09V0J,Akadios,56725,894
894,89QQGQL,Get Off My Lawn,56724,895
895,9U02ULYJ,Putra Indonesia,56721,896
896,2GYCCQLV,los penudos,56719,897
897,8GG8G2RU,Heralds™,56716,898
898,2008CVRG,PH.Antibiotics™,56714,899
899,8RPR0GJQ,Electric Party™,56713,900
900,Q02P9Q,3hunna,56710,901
901,8U9RQ2R,上海,56709,902
902,9YRVCURQ,Nova Esports DE,56709,903
903,98V29YV9,kings of royal,56709,904
904,9CVVR0YQ,Tanduk Dewa,56709,905
905,2CLV98,かむかむFRIENDS,56706,906
906,902G0YYQ,Freedom Riders™,56706,907
907,20UPJR9,GIANTS Army,56705,908
908,9LCJ8UY2,EGY IDOLS™,56700,909
909,2ULUL92P,#RoyalConSalame,56698,910
910,P8PJQUYG,疯人班,56697,911
911,Y9RVG999,Mad Scientists,56694,912
912,90VJ9YC8,友间客栈,56694,913
913,P80U8UYV,CRPO l Lima,56694,914
914,CYQ90GV,原谅我放荡不羁爱公举,56694,915
915,GP09RJ,Sarajevo Grad,56693,916
916,2UYVY0VU,Los Desterra2,56692,917
917,YGC9VPGY,ASC,56692,918
918,VJ02,FURIAROJA.NET,56692,919
919,8CJCCJYP,ClashHead Fce,56688,920
920,2QG9LU9J,AK Gaming 2,56687,921
921,99LQJ8GY,QLASH Sentry3,56682,922
922,9Q99GU,055 Trap Squad,56681,923
923,8GQ2LQP0,80.90【白羊营】,56679,924
924,9PV8QR9Q,Los Lobos Hn,56678,925
925,2YY9RRRL,ALBANIA,56677,926
926,28VCGQ08,很久没吃东西了,56675,927
927,220V90LC,TROPA DO RATO,56673,928
928,80RGLPPG,Taifa eSports,56671,929
929,98YPYUUG,Anathema. 2.0,56669,930
930,90CLL8UP,Supernova,56668,931
931,JU0P0PQ,クランあり,56667,932
932,Q9P2CQV,사랑하는시청자분들,56666,933
933,QJJLJ2,THE FULL TEENZ,56666,934
934,8R8802V,الذهبي,56661,935
935,2GJQ02UJ,잎새 1기,56658,936
936,PP2Q9PP,KND,56658,937
937,RYYV22G,Genesis IR,56657,938
938,2JJ9JCU2,Clash it EASY,56655,939
939,9JPLCJU,ChillKröten,56652,940
940,2R0VUJ,#TheCrew,56652,941
941,2UC00CCU,老舊帳號放置區,56648,942
942,2LJ09CL,(ТЫ РУССКИЙ),56648,943
943,CYCJJLG,Nova Turkey,56648,944
944,P8U09R0Y,Clash Com Kal,56645,945
945,8QQCGGCR,Team Superación,56639,946
946,2Q0URV,PolskaTarcza,56638,947
947,P2PGJP,No Good Cards,56636,948
948,J8GVQU,아라타,56635,949
949,9PQPRQLC,BLACKSTARZ,56635,950
950,922JCQUQ,*La República*,56630,951
951,P0CUCLPQ,nova mid,56628,952
952,92R8Q0P2,Egy princes,56627,953
953,PP2Y98Y9,BULGARIA UNITED,56626,954
954,9LU2P9LQ,春天花花幼稚园,56626,955
955,229QC0G8,Boca Juniors,56626,956
956,8LGC2JRJ,fabrizio israel,56625,957
957,90LV8RPU,金たまご。,56624,958
958,9LJPYQ8V,Kes_Gaming,56623,959
959,9JCUC8LY,Arena Dragons☣,56623,960
960,YLCLRCR,!CLASH OF DORF!,56623,961
961,PY9UR8J2,-Red Fox- BR,56617,962
962,9J02YVG8,No Mercy,56616,963
963,22GG0J92,MEXNation HDT™,56612,964
964,UR0GUPQ,Royal Legends,56611,965
965,20QLPG98,German-Legends,56607,966
966,LRVJY8,Yuki GR,56606,967
967,9VUP8YQJ,딜넣는 도둑,56605,968
968,CLVQPP8,#BR Crazyscraft,56603,969
969,2R9CPG0C,二手飯堂,56601,970
970,YLYJ8,Wi and Fi,56601,971
971,GJQQLQ8,Bloody Bride,56601,972
972,UL02LJP,Weeds,56601,973
973,P9JPVLQV,Los Ukrainos,56600,974
974,2JP989CL,SerbianForces,56600,975
975,P8GY2QP8,Guerreros Nicas,56597,976
976,8JUJRR0R,X-Name♨️,56596,977
977,29YPJYY,Dragons Eight,56595,978
978,8GCUQJ82,Genesis,56591,979
979,8UV80PRR,南山旧野,56590,980
980,8R99RRQ,Gang del bosco,56586,981
981,80GQRG28,Adulti eSports,56584,982
982,YR9JYU,jp.不死鳥,56584,983
983,Y9UL8ULU,Royal Family,56582,984
984,2QCPVC9C,vi over 30 år,56581,985
985,2G8J9V0C,Pirates Team SV,56579,986
986,2L0LP99,Os Mercenario$,56578,987
987,9LQ88YJ2,疯人帮,56577,988
988,92GRLVR2,NewElite CR,56575,989
989,8C2LCYY0,BCN PRO TEAM,56574,990
990,PGJGLQPL,$degivrance$,56574,991
991,GYY8JJ,German Alliance,56573,992
992,99LLYPCJ,IMPERIAL,56570,993
993,9LGU9JC8,B.T.G,56569,994
994,2YV2P9VC,OMAN Apex™,56568,995
995,99UQ99RU,#Apocalipse Br,56566,996
996,8U0PU08G,Nova l Hellas 2,56564,997
997,JJP0GQ2,100万円までは無課金,56561,998
998,9V2PU2VJ,Limitless,56561,999
